Ind,mean_GWC,K,SO4,B,Zn,Mn,Cu,Fe,Ca,Mg,Na,Bases,CEC,TKN,S,N,NO3,NH4,P_Bicarb,pH,Resp_24,Sand,Silt,Clay,SoilTemp_C,VolWaterCont,C_Percent,WEOC,WETN,salt_C,salt_N,MBC,MBN,ROI.volume.xyz,Voxel.size,Conn_Pores,PSD_0.1,PSD_0.2,PSD_0.3,PSD_0.4,PSD_0.5,PSD_0.75,PSD_1,PSD_5,PSD_10,PSD_25,PSD_50,PSD_over50,pore size,porevolume,pore vol fraction,wet bulk density,perm_x,flowRate_x,tort_x,perm_y,flowRate_y,tort_y,perm_z,flowRate_z,tort_z,sum_amino,sum_carbs,sum_condHC,sum_lignin,sum_protein,sum_tanin,sum_unsatHC,sum_lipid,ID,NLCD.Land.Cover.Class.x,landcover,organicIndex_unweighted,organicIndex_weighted
0,1,82,4,0.2,0.3,1.1,0.1,14,3.05,0.42,0.08,3.76,9.38,0.047,94.5,0.047,0.0009,6.00E-04,9.00E-04,9.20E+00,3.7,87,5.9,7.1,42.7,0.049,0.151,0.031,0.006,0.020707635,0.001909962,0.013688861,0.001384506,NA,0.381,28.19,907936,125131,11846,2488,710,393,51,18,0,1,0,0,0.076045,0.000788,5.07,2.07,6.61964,93.40387,1.84,9.48881,146.163,1.77,6.10609,33.65278,1.95,7.581884351,3.376465831,11.78730287,36.10998787,21.91670036,8.41083704,2.385766276,5.458956733,1,NA,1,0,0
1,1.002,107,4,0.25,0.2,1.9,0.1,13,3.27,0.26,0.1,3.9,5.62,0.059,101.84,0.059,0.0039,0.0012,0.002,8.75,11.4,83.1,9.9,7.1,42.7,0.049,0.209,0.029,0.005,0.126612211,0.009253243,0.081016352,0.007267017,NA,0.381,40.4,875026,152973,16258,3044,842,378,31,21,0,1,0,0,0.076939,0.001032,5.27,2.12,21.10196,388.9573,1.81,12.26998,165.2507,1.69,0.12125,0.88,2.24,4.1,2.583333333,17.65,41.925,12.66666667,9.583333333,3.2,3.983333333,2,NA,1,0,0
2,1.134,107,6,0.26,0.3,0.7,0.5,18,2.93,1.14,0.06,4.4,5.49,0.072,18.6,0.072,0.0001,3.00E-04,2.38E-02,6.98,9.33,48.03,23.99,27.98,18.5,0.0515,0.433,0.047,0.004,0.073837597,0.008011782,0.033047466,0.006295954,NA,0.0381,88.96,470233,111270,24469,7480,2852,2042,410,189,0,0,1,0,0.08791,0.020005,9.18,2.45,1912.92,27617.81,1.53,1874.209,33279.5,1.54,13.839,134.55,1.66,3.194829178,1.329639889,12.48384118,55.42012927,9.676823638,11.06186519,4.265927978,2.234533703,3,NA,2,0,0
4,1.088,66,2,0.06,0.3,2,0.3,17,1.13,0.32,0.04,1.66,2.3,0.041,0,0.041,0.0002,1.00E-04,5.08E-02,6.78,6.43,68.06,21.96,9.98,23,0.0695,0.223,0.033,0.003,0.022902073,0.00332576,0.032374642,0.003541057,NA,0.0381,77.43,868557,141807,26755,7293,2418,1448,209,86,0,0,1,0,0.07499,0.003696,9.79,2.53,25.561,370.663,1.74,28.208,489.232,1.75,54.612,548.196,1.71,3.997461929,0.602791878,22.90609137,40.98984772,11.64340102,16.24365482,1.427664975,2.125634518,4,NA,5,0,0
5,1.106,134,4,0.11,3.6,5.1,2.2,48,1.76,0.5,0.05,2.65,4.06,0.114,37.81,0.114,0.0036,0.0008,1.50E-01,6.66,24.84,84.01,6,10,23,0.0695,1.019,0.029,0.009,0.02592964,0.010321326,0.074099336,0.017683773,NA,0.0381,86.26,846625,163580,27587,6903,2286,1298,218,75,0,0,1,0,0.0795,0.007276,11.58,2.23,73.0551,1031.543,1.72,92.4777,1654.125,1.73,79.681,793.396,1.73,4.189772027,0.554528651,22.18114603,40.91189156,15.09550216,12.75415896,0.123228589,3.943314849,5,NA,5,0,0
6,1.218,144,5,0.18,0.4,9.6,0.2,21,1.42,1.08,0.1,2.97,2.74,0.064,22.6,0.064,0.0005,1.80E-03,0.0009,4.94E+00,7.1,53,33.9,13.2,18.4,0.338,0.205,0.033,0.002,0.091127586,0.003288654,0.061627788,0.003752454,NA,0.0381,5.08,977360,81881,10588,4344,2058,1697,445,199,2,0,0,0,0.072092,0.001038,6.83,2.35,30.72064,374.8233,1.09,0.011144,0.19368,1.47,0.030694,0.28327,1.53,3.97260274,2.769080235,17.7592955,42.20156556,11.75146771,10.6555773,3.365949119,3.199608611,6,NA,3,0,0
7,1.278,156,6,0.4,1.6,5.9,0.2,12,9.02,1.04,0.07,10.53,2.04,0.172,198.71,0.172,0.0008,4.20E-03,0.0034,7.28,24.6,49,37.9,13.2,18.4,0.338,1.549,0.098,0.021,0.088242657,0.014326823,0.201579625,0.028512493,NA,0.0381,47.72,967106,61986,11847,4076,1777,1318,293,170,0,1,0,0,0.070192,0.001556,8.04,2.29,21.86411,314.5299,1.78,49.5169,862.061,1.61,0,0,1.57,2.921808422,2.401637984,28.3658901,35.86409164,9.407337723,8.057108074,3.928946932,2.495711361,7,NA,3,0,0
12,1.203,548,3,0.21,0.01,3.4,0.7,17,6.67,2.33,0.08,10.49,11.21,0.131,66.36,0.131,0.0055,0.0007,8.00E-03,7.16,11.34,56.03,27.98,15.99,12.8,0.075,0.759,0.052,0.013,0.060306876,0.013496325,0.11114971,0.012383214,NA,0.0381,78.9,945303,92624,7860,1727,558,370,84,47,0,0,1,0,0.069619,0.001985,8.59,2.06,368.357,5184.799,1.58,71.175,1257.678,1.8,14197.26,141710.1,1.35,2.369826435,1.051401869,31.17489987,38.83511348,7.977303071,12.63351135,2.870493992,2.703604806,8,NA,8,0,0
13,1.195,1218,5,0.77,1.6,13.3,0.7,33,6.53,1.86,0.09,11.6,13.8,0.192,108.37,0.192,0.0015,0.0201,0.0345,7.34,24.08,64.06,21.96,13.98,12.8,0.075,1.477,0.064,0.04,0.120103992,0.045656651,0.168289884,0.024549624,NA,0.0381,86.77,893234,132880,16314,3842,1248,837,160,58,0,0,1,0,0.07364,0.00506,8.61,1.96,671.2115,9466.432,1.66,208.911,6394.432,1.73,115.996,1175.075,1.71,1.363442693,0.647635279,44.71239881,34.99786962,4.277801449,10.81380486,1.431614827,1.107797188,9,NA,8,0,0
16,1.028,48,7,0.13,0.1,13.4,0.1,12,0.47,0.15,0.07,0.81,3.18,0.053,51.19,0.053,0.0008,1.40E-03,0.0007,5.97E+00,9.2,77,12,11.1,27.5,0.04,0.444,0.038,0.003,0.04860366,0.005425106,0.03278527,0.006060255,NA,0.0381,79.26,893430,130672,17309,4389,1484,977,218,94,0,0,1,0,0.071992,0.003543,9,2.14,42.27161,608.3159,1.64,40.79063,713.7915,1.72,21.79601,219.413,1.75,7.509386733,4.130162703,3.604505632,37.4718398,26.80851064,5.682102628,4.455569462,8.46057572,10,NA,6,0,0
